GEOID,NAME,total,hisp,white,black,amind_aknat,asian,nathw_pacis,other_race,multi_race,pop_over18,pop_under18,total_housing,occupied_housing,jobs_rac,jobs_rac_low,jobs_rac_mid,jobs_rac_hi,jobs_wac,jobs_wac_low,jobs_wac_mid,jobs_wac_hi
511319302004098,"Block 4098, Block Group 4, Census Tract 9302, Northampton County, Virginia",16,2,6,8,0,0,0,0,0,16,0,5,5,7,1,5,1,0,0,0,0
511319302004099,"Block 4099, Block Group 4, Census Tract 9302, Northampton County, Virginia",21,1,17,0,0,0,0,3,0,14,7,12,6,10,1,4,5,0,0,0,0
511319302004100,"Block 4100, Block Group 4, Census Tract 9302, Northampton County, Virginia",17,5,6,5,0,0,0,0,1,8,9,11,11,6,1,4,1,0,0,0,0
511319302004101,"Block 4101, Block Group 4, Census Tract 9302, Northampton County, Virginia",10,0,1,9,0,0,0,0,0,9,1,10,4,2,0,1,1,0,0,0,0
511319302004102,"Block 4102, Block Group 4, Census Tract 9302, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319302004103,"Block 4103, Block Group 4, Census Tract 9302, Northampton County, Virginia",11,1,9,0,0,0,0,0,1,9,2,6,6,3,2,1,0,0,0,0,0
511319302004104,"Block 4104, Block Group 4, Census Tract 9302, Northampton County, Virginia",11,0,4,7,0,0,0,0,0,10,1,5,0,3,0,2,1,0,0,0,0
511319303011000,"Block 1000, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",31,5,24,2,0,0,0,0,0,29,2,16,14,20,2,3,15,0,0,0,0
511319303011001,"Block 1001, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",32,2,3,27,0,0,0,0,0,23,9,17,17,15,3,7,5,1,0,1,0
511319303011002,"Block 1002, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",102,3,20,70,0,1,0,0,8,91,11,56,31,51,9,20,22,0,0,0,0
511319303011003,"Block 1003, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",5,1,1,3,0,0,0,0,0,2,3,5,2,0,0,0,0,0,0,0,0
511319303011005,"Block 1005, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",36,10,9,7,0,9,0,0,1,31,5,12,2,19,4,9,6,0,0,0,0
511319303011006,"Block 1006, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",37,0,5,32,0,0,0,0,0,32,5,24,24,19,6,9,4,0,0,0,0
511319303011008,"Block 1008, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011009,"Block 1009, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
