GEOID,COUNTYFP,ALAND,AWATER,cells,sum_slr1.ft,sum_slr2.ft,sum_slr3.ft,sum_vzone.1percent,sum_azone.1percent,sum_azone.2percent,sum_ss.cat1,sum_ss.cat2,sum_ss.cat3,sum_HighTideFlooding,mean_HighTideFlooding,med_HighTideFlooding,mean_SeaLevelRise,med_SeaLevelRise,mean_FEMAFloodZones,med_FEMAFloodZones,mean_StormSurge,med_StormSurge,mean_HazardNumber,med_HazardNumber,sd_HazardNumber,per_sum_slr1.ft,per_sum_slr2.ft,per_sum_slr3.ft,per_sum_vzone.1percent,per_sum_azone.1percent,per_sum_azone.2percent,per_sum_ss.cat1,per_sum_ss.cat2,per_sum_ss.cat3,per_sum_HighTideFlooding,locality,localityfips,tract,blkgrp,names,totpop_est,tothh_est,jobs_total_w,jobs_total_h,whiteper_est,blackper_est,ltnxper_est,remainper_est,age17per_est,age65per_est,onlineper_est,ownhhper_est,renthhper_est,bldgage70per_est,medhhinc_est,medrent_est,medhome_est,percent_lowage_w,percent_lowage_h,geometry
510010908002,001,128530059,86383308,1265130,681789,736914,776120,486036,884856,949493,760832,844655,853085,600752,0.4748539675764537,0,1.734859658691207,3,1.8341079572850176,2,1.9433354675013657,3,5.98715705105403,6,3.903949278609042,0.5389082544876811,0.5824808517701738,0.6134705524333468,0.38417870100305895,0.6994190320362335,0.7505102242457297,0.6013864187870022,0.6676428509323152,0.6743061977820461,0.4748539675764546,Accomack,001,090800,2,"Middlesex, Painter, Quinby",1672,483,112,633,46.05,49.04,3.11,1.79,27.99,14.65,81.99,54.24,45.76,49.13,45511,1006,122600,29.464285714285715,26.066350710900476,"list(list(c(-75.839908, -75.835091, -75.833236, -75.831748, -75.827447, -75.826508, -75.825882, -75.82382, -75.818896, -75.817085, -75.8141, -75.813746, -75.807981, -75.807599, -75.803522, -75.801862, -75.799918, -75.792029, -75.7889, -75.787573, -75.783332, -75.778923, -75.77536, -75.769092, -75.76332, -75.759459, -75.758691, -75.75439, -75.752222, -75.749426, -75.746557, -75.746208, -75.745225, -75.73916, -75.736991, -75.731002, -75.72889, -75.725785, -75.724876, -75.721534, -75.717368, -75.715696, 
-75.712467, -75.711315, -75.705398, -75.704986, -75.700757, -75.698752, -75.693228, -75.692858, -75.692555, -75.692032, -75.691797, -75.691234, -75.68936, -75.683728, -75.681468, -75.680088, -75.675966, -75.672746, -75.668824, -75.666566, -75.6639, -75.661857, -75.659557, -75.655596, -75.653507, -75.650949, -75.646095, -75.64141, -75.639109, -75.635987, -75.631305, -75.628907, -75.624648, -75.61879, -75.614622, -75.6134742648533, -75.612863, -75.609179, -75.604544, -75.603, -75.600504, -75.600147, 
-75.602168, -75.60704, -75.624164, -75.645236, -75.662419, -75.66955, -75.672877, -75.677869, -75.681457, -75.684845, -75.684513, -75.686306, -75.69106, -75.688021, -75.6869, -75.678601115297, -75.680686, -75.68326, -75.686953, -75.691873, -75.703854, -75.70908, -75.711103, -75.713275, -75.720663, -75.72852, -75.730917, -75.73336, -75.743218, -75.74965, -75.753485, -75.759506, -75.762986, -75.763912, -75.766568, -75.769567, -75.776564, -75.779253, -75.781815, -75.78473, -75.78703, -75.791176, -75.795611, 
-75.799081, -75.80242, -75.805447, -75.808115, -75.809184, -75.810665, -75.812028, -75.812793, -75.812615, -75.812045, -75.81079, -75.805685, -75.804378, -75.800265, -75.798645, -75.793521, -75.79293, -75.793334, -75.794881, -75.795092, -75.791748, -75.785389, -75.784031, -75.78365, -75.782407, -75.779471, -75.777885, -75.773433, -75.771065, -75.768542, -75.767503, -75.767715, -75.765899, -75.763382, -75.760317, -75.760392, -75.758798, -75.753046, -75.749651, -75.748013, -75.747587, -75.747942, -75.74965, 
-75.751177, -75.75754, -75.761483, -75.769816, -75.770217, -75.770723, -75.773651, -75.778093, -75.778796, -75.785457, -75.795541, -75.79901, -75.803161, -75.810643, -75.807499, -75.806857, -75.807894, -75.809789, -75.817979, -75.820485, -75.822594, -75.826858, -75.829112, -75.833428, -75.83766, -75.837324, -75.838427, -75.838867, -75.845151, -75.839908, 37.611554, 37.614402, 37.617414, 37.617968, 37.621023, 37.621725, 37.622267, 37.62464, 37.62684, 37.62915, 37.63044, 37.630659, 37.623494, 37.622336, 
37.62153, 37.619332, 37.616689, 37.606168, 37.60007, 37.596428, 37.598528, 37.597991, 37.596654, 37.600678, 37.597494, 37.59661, 37.595295, 37.592155, 37.592783, 37.596676, 37.597986, 37.598063, 37.597252, 37.594517, 37.591602, 37.594408, 37.593766, 37.59456, 37.594087, 37.595733, 37.593047, 37.592867, 37.594295, 37.594692, 37.591789, 37.5925, 37.59703, 37.599686, 37.597319, 37.596912, 37.59679, 37.596868, 37.596743, 37.595594, 37.595305, 37.591465, 37.589412, 37.587459, 37.584889, 37.583928, 37.583766, 
37.583841, 37.582948, 37.583935, 37.583407, 37.581425, 37.581022, 37.581792, 37.584998, 37.587032, 37.588489, 37.589713, 37.589919, 37.589489, 37.587078, 37.583082, 37.581589, 37.5809468544264, 37.57728, 37.576715, 37.577374, 37.577186, 37.573889, 37.571346, 37.567107, 37.563433, 37.541522, 37.515641, 37.490674, 37.484356, 37.483696, 37.487374, 37.488815, 37.487354, 37.482704, 37.478604, 37.473605, 37.470146, 37.465399, 37.4599235476117, 37.456439, 37.454744, 37.453751, 37.453143, 37.450493, 37.448562, 
37.44878, 37.449876, 37.455456, 37.459775, 37.460477, 37.460658, 37.460721, 37.46137, 37.461655, 37.461621, 37.463248, 37.463308, 37.461796, 37.458943, 37.454589, 37.458588, 37.46188, 37.463862, 37.464578, 37.464425, 37.463135, 37.462452, 37.462433, 37.463282, 37.464626, 37.465743, 37.467919, 37.471057, 37.473895, 37.475418, 37.476864, 37.477823, 37.479239, 37.479859, 37.484275, 37.485718, 37.488837, 37.491484, 37.49357, 37.498093, 37.500135, 37.502544, 37.503803, 37.504411, 37.504718, 37.506397, 
37.513446, 37.515003, 37.518034, 37.521626, 37.524513, 37.526641, 37.529164, 37.528599, 37.531224, 37.532651, 37.533608, 37.534492, 37.5443, 37.549328, 37.552235, 37.554503, 37.5585, 37.56043, 37.560726, 37.558017, 37.557722, 37.561693, 37.563281, 37.565019, 37.565944, 37.566068, 37.566303, 37.56549, 37.571626, 37.569253, 37.565487, 37.568145, 37.573195, 37.576334, 37.581254, 37.584746, 37.582885, 37.582605, 37.583496, 37.586614, 37.589331, 37.589775, 37.592611, 37.595956, 37.602795, 37.603053, 37.607292, 
37.611554)))"
510010903001,001,46238826,43463630,465399,226448,302506,363442,12921,461343,464259,376314,427394,443300,273380,0.5874099428662288,1,1.9174858562222947,2,2.0165986605042123,2,2.6794385033057657,3,7.200932962898503,8,2.0304960118179594,0.4865674399816072,0.64999280187538,0.780925614365308,0.027763274093842057,0.9912848974750698,0.9975504889353006,0.8085836024572464,0.9183388877071073,0.952516013141412,0.5874099428662287,Accomack,001,090300,1,"Saxis, Sanford, Grotons, Jenkins Bridge",420,185,16,288,72.14,17.14,0.71,10,4.52,31.19,57.84,95.68,4.32,65.98,59453,920,101300,56.25,26.73611111111111,"list(list(c(-75.756897, -75.754758, -75.752975, -75.75048, -75.747271, -75.743587, -75.74121, -75.738358, -75.736219, -75.734912, -75.734318, -75.737526, -75.74121, -75.741329, -75.743468, -75.742848, -75.739726, -75.736813, -75.734713, -75.7317417675787, -75.7310994929142, -75.72897, -75.725048, -75.722552, -75.719344, -75.7181590715807, -75.714947, -75.712229, -75.709718, -75.709955, -75.710668, -75.707579, -75.704318, -75.700329, -75.693942, -75.6908741606275, -75.678701, -75.6776820685924, -75.676687, 
-75.675492, -75.67359, -75.673195050551, -75.668956, -75.668124, -75.665628, -75.662885, -75.661127, -75.66028, -75.656715, -75.653031, -75.650654, -75.648426, -75.6481380741884, -75.646733, -75.644831, -75.643049, -75.6429626790485, -75.637938, -75.63675, -75.636037, -75.636869, -75.639008, -75.641266, -75.6422636430856, -75.641483, -75.641928, -75.639419, -75.63902, -75.636942, -75.636866, -75.63506, -75.637485, -75.63841, -75.63642, -75.634388, -75.632212, -75.631922, -75.629284, -75.629522, -75.628429, 
-75.629848, -75.628834, -75.62644, -75.625968, -75.624384, -75.623411, -75.623638, -75.621015, -75.619369, -75.618893, -75.617257, -75.616941, -75.615462, -75.610815, -75.610556, -75.611921, -75.617605, -75.60891, -75.606214, -75.608172, -75.608586, -75.610459, -75.612883, -75.616541, -75.622074, -75.626318, -75.630028, -75.631167, -75.632442, -75.630836, -75.628355, -75.624152, -75.619102, -75.617912, -75.618241, -75.618219, -75.623559, -75.627677, -75.630622, -75.631489, -75.634146, -75.634116, 
-75.63738, -75.637147, -75.640411, -75.641568, -75.642752, -75.641768, -75.64327, -75.644051, -75.646391, -75.644945, -75.646562, -75.648843, -75.651906, -75.65254, -75.655011, -75.655416, -75.654541, -75.656386, -75.660823, -75.662797, -75.666085, -75.669649, -75.672534, -75.674025, -75.675056, -75.677444, -75.682093, -75.686685, -75.688279, -75.6911494461991, -75.6962783099415, -75.696883, -75.699989, -75.704489, -75.707816, -75.709626, -75.72049, -75.724505, -75.726699, -75.729326, -75.736694, 
-75.73941, -75.742009, -75.742399, -75.745251, -75.747615, -75.754402, -75.756065, -75.757254, -75.756897, 37.901553, 37.902397, 37.902209, 37.900803, 37.901553, 37.901928, 37.899959, 37.900428, 37.902209, 37.90446, 37.906241, 37.906241, 37.907085, 37.908867, 37.912055, 37.913203, 37.914233, 37.916968, 37.918293, 37.9198673444642, 37.9202076616859, 37.921336, 37.925367, 37.929117, 37.93446, 37.935242855824, 37.937365, 37.938139, 37.936709, 37.935022, 37.933804, 37.930523, 37.92901, 37.929023, 37.930362, 
37.9328471089097, 37.942708, 37.9425248554272, 37.942346, 37.940552, 37.940833, 37.9406812930472, 37.939053, 37.937553, 37.936991, 37.938155, 37.937895, 37.936428, 37.935585, 37.935678, 37.935116, 37.935784, 37.9357181835268, 37.935397, 37.936616, 37.936334, 37.9364574772992, 37.943645, 37.945613, 37.95058, 37.95564, 37.960231, 37.96323, 37.9636435491267, 37.965473, 37.96671, 37.966598, 37.963519, 37.96394, 37.962274, 37.961257, 37.960855, 37.959865, 37.958828, 37.958519, 37.959315, 37.960191, 37.959289, 
37.960398, 37.961765, 37.961702, 37.962998, 37.963622, 37.964589, 37.964228, 37.965543, 37.96724, 37.966828, 37.967748, 37.969093, 37.969756, 37.973195, 37.972053, 37.973292, 37.972333, 37.96861, 37.940821, 37.937622, 37.937072, 37.928168, 37.927432, 37.927191, 37.921397, 37.912915, 37.915103, 37.908007, 37.901043, 37.897595, 37.896059, 37.893995, 37.892052, 37.890937, 37.886856, 37.885452, 37.883827, 37.883208, 37.884972, 37.887744, 37.888569, 37.887791, 37.888777, 37.890288, 37.890976, 37.892418, 
37.893129, 37.891276, 37.89194, 37.893954, 37.89455, 37.893497, 37.89304, 37.895352, 37.896451, 37.895878, 37.897569, 37.898338, 37.899237, 37.900673, 37.902215, 37.9039, 37.902722, 37.903554, 37.904069, 37.905392, 37.905334, 37.90427, 37.902156, 37.900572, 37.900812, 37.902003, 37.902067, 37.8999225889024, 37.9016324127596, 37.901834, 37.900438, 37.90099, 37.900334, 37.900622, 37.901926, 37.900184, 37.897299, 37.898365, 37.897021, 37.897706, 37.896812, 37.898646, 37.899865, 37.898183, 37.897896, 
37.89799, 37.899209, 37.901553)))"
510010902021,001,46815297,1345955,479379,82225,93165,100923,155,161418,172201,123969,165611,211261,91438,0.19074260658059708,0,0.5763977979844755,0,0.6962632906322551,0,1.0447704217331177,0,2.5081741169304443,0,3.4479278753843228,0.17152399249862843,0.19434518408190596,0.21052862140394135,3.233349812987219e-4,0.33672313555662636,0.35921682009433037,0.25860331804271774,0.3454698683087912,0.44069723538160827,0.19074260658059697,Accomack,001,090202,1,"New Church, Bullbegger",1131,480,126,425,29.71,64.72,0.97,4.6,20.07,5.84,97.29,58.33,41.67,29.61,39550,896,162200,34.12698412698413,22.823529411764707,"list(list(c(-75.648229, -75.644725, -75.641823, -75.638221, -75.635736, -75.634209, -75.63201, -75.630992, -75.629532, -75.628839, -75.628855, -75.633712, -75.633833, -75.632532, -75.630869, -75.629348, -75.627607, -75.626655, -75.625611, -75.625084, -75.624648, -75.624449, -75.6243428147, -75.621344, -75.614064, -75.609756, -75.582689, -75.5419499883426, -75.541739, -75.539942, -75.486215331463, -75.485853, -75.487215, -75.491114, -75.492839, -75.494318, -75.496944, -75.499285, -75.501198, -75.50351, 
-75.520808, -75.52643, -75.529435, -75.529897, -75.529607, -75.531757, -75.53214, -75.532813, -75.533863, -75.534664, -75.540298, -75.542696, -75.543802, -75.545456, -75.546093, -75.549727, -75.550001, -75.554625, -75.558244, -75.56826, -75.570583, -75.574914, -75.577449, -75.576159, -75.576279, -75.576851, -75.584382, -75.589924, -75.592896, -75.593816, -75.597507, -75.611921, -75.610556, -75.610815, -75.615462, -75.616941, -75.617257, -75.618893, -75.619369, -75.621015, -75.623638, -75.623411, 
-75.624384, -75.625968, -75.62644, -75.628834, -75.629848, -75.628429, -75.629522, -75.629284, -75.631922, -75.632212, -75.634388, -75.63642, -75.63841, -75.637485, -75.63506, -75.636866, -75.636942, -75.63902, -75.639419, -75.641928, -75.641483, -75.6422636430856, -75.643524, -75.645425, -75.648229, -75.648229, 37.966775, 37.969779, 37.975967, 37.979397, 37.979536, 37.977672, 37.97602, 37.975667, 37.975966, 37.976789, 37.977798, 37.983057, 37.984519, 37.986693, 37.987818, 37.988354, 37.988519, 37.988892, 
37.989798, 37.990577, 37.9925, 37.994195, 37.994206251196, 37.994524, 37.995255, 37.995502, 37.997887, 38.0013460853122, 38.001364, 38.001337, 38.0059509572715, 38.003511, 38.001903, 37.999081, 37.998147, 37.996306, 37.994081, 37.994392, 37.995215, 37.994854, 37.993188, 37.992661, 37.98449, 37.984225, 37.982874, 37.973835, 37.971725, 37.964527, 37.958403, 37.956592, 37.946012, 37.941535, 37.939967, 37.937974, 37.93663, 37.938961, 37.939125, 37.94176, 37.942467, 37.943237, 37.943884, 37.944412, 37.945502, 
37.950319, 37.951214, 37.951843, 37.955029, 37.958554, 37.961278, 37.962606, 37.964665, 37.96861, 37.972333, 37.973292, 37.972053, 37.973195, 37.969756, 37.969093, 37.967748, 37.966828, 37.96724, 37.965543, 37.964228, 37.964589, 37.963622, 37.962998, 37.961702, 37.961765, 37.960398, 37.959289, 37.960191, 37.959315, 37.958519, 37.958828, 37.959865, 37.960855, 37.961257, 37.962274, 37.96394, 37.963519, 37.966598, 37.96671, 37.965473, 37.9636435491267, 37.964166, 37.964448, 37.966771, 37.966775)))"
510010902011,001,40921889,194652,419563,3321,3745,4027,0,6747,7304,4936,11037,18974,4014,0.009567097193985163,0,0.026439414343018774,0,0.033489607043519116,0,0.08329380808126563,0,0.15278992666178848,0,0.9185962303952284,0.007915378620135713,0.008925953909186463,0.009598081813696632,0,0.016081017630248617,0.017408589413270475,0.011764621761213453,0.02630594213503097,0.045223244185021085,0.00956709719398517,Accomack,001,090201,1,"Horntown, Wattsville",1443,706,366,650,52.46,26.96,15.45,5.13,15.73,29.04,62.75,44.9,55.1,21.19,43112,1408,175100,16.120218579234972,29.230769230769234,"list(list(c(-75.534664, -75.533863, -75.532813, -75.53214, -75.531757, -75.529607, -75.529897, -75.529435, -75.52643, -75.520808, -75.50351, -75.501198, -75.499285, -75.496944, -75.494318, -75.492839, -75.491114, -75.487215, -75.485853, -75.486215331463, -75.4680986647873, -75.4598314222354, -75.4596312497862, -75.4493495965804, -75.436668, -75.4289822716898, -75.43468, -75.440591, -75.442, -75.445786, -75.451303, -75.458359, -75.46005, -75.460446, -75.460396, -75.458269, -75.453965, -75.453455, 
-75.453573, -75.457997, -75.463141, -75.464041, -75.464441, -75.464924, -75.465961, -75.466556, -75.47126, -75.474982, -75.476934, -75.47876, -75.484003, -75.488583, -75.489355, -75.490964, -75.495399, -75.49702, -75.497846, -75.496931, -75.495221, -75.492466, -75.489709, -75.489289, -75.489419, -75.481866, -75.479311, -75.478916, -75.473449, -75.47733, -75.476013, -75.475853, -75.476448, -75.474365, -75.474571, -75.473128, -75.472625, -75.475721, -75.478464, -75.480772, -75.49118, -75.492207, -75.493755, 
-75.495154, -75.496685, -75.499238, -75.501008, -75.504573, -75.506072, -75.511763, -75.512161, -75.51584, -75.516632, -75.522179, -75.524048, -75.53006, -75.540298, -75.534664, 37.956592, 37.958403, 37.964527, 37.971725, 37.973835, 37.982874, 37.984225, 37.98449, 37.992661, 37.993188, 37.994854, 37.995215, 37.994392, 37.994081, 37.996306, 37.998147, 37.999081, 38.001903, 38.003511, 38.0059509572715, 38.0075067865872, 38.0082167636791, 38.0082339541574, 38.0091169254985, 38.010206, 38.0108161321617, 
38.006298, 38.001741, 38.001099, 37.999616, 37.999106, 37.997154, 37.996371, 37.995277, 37.994745, 37.989227, 37.982122, 37.980755, 37.979391, 37.972334, 37.969749, 37.968949, 37.968473, 37.967703, 37.966268, 37.965858, 37.965099, 37.963915, 37.964407, 37.964705, 37.962308, 37.957669, 37.956536, 37.954877, 37.952351, 37.95055, 37.948112, 37.946817, 37.94651, 37.943849, 37.942776, 37.941513, 37.939947, 37.939713, 37.936699, 37.934276, 37.934551, 37.929642, 37.928776, 37.927836, 37.927074, 37.92603, 
37.922794, 37.923053, 37.921171, 37.920442, 37.920695, 37.92163, 37.927586, 37.928386, 37.931675, 37.932964, 37.933583, 37.934034, 37.93431, 37.933798, 37.933977, 37.937249, 37.937463, 37.938996, 37.939228, 37.940247, 37.940657, 37.942038, 37.946012, 37.956592)))"
511319301003,131,6924681,175433,70606,852,1052,1201,0,1370,1682,921,1306,2126,809,0.011457949749313096,0,0.0439764325977962,0,0.043225788176642195,0,0.06165198425063028,0,0.16031215477438165,0,1.0457180942766195,0.012066963147607851,0.014899583604792793,0.017009885845395575,0,0.019403450131716852,0.02382233804492536,0.013044217205336658,0.01849701158541767,0.030110755459875932,0.01145794974931309,Northampton,131,930100,3,Exmore,1190,441,518,354,54.71,39.92,3.7,1.68,29.41,14.29,87.53,57.37,42.63,52.46,46821,925,172900,33.78378378378378,33.89830508474576,"list(list(c(-75.848447, -75.845438, -75.843397, -75.841297, -75.838472, -75.834926, -75.820011, -75.819693, -75.818973, -75.813958, -75.815823, -75.819075, -75.822904, -75.823728, -75.822668, -75.822794, -75.825631, -75.826288, -75.828732, -75.832002, -75.832593, -75.832779, -75.832146, -75.831896, -75.835002, -75.838635, -75.839379, -75.842651, -75.846058, -75.847539, -75.84785, -75.847715, -75.843596, -75.847485, -75.848093, -75.8459, -75.84379, -75.843092, -75.8442, -75.847267, -75.849872, -75.848447, 
37.552616, 37.553911, 37.553867, 37.555532, 37.555423, 37.55409, 37.546053, 37.545781, 37.545462, 37.542792, 37.541635, 37.540704, 37.540149, 37.537451, 37.530828, 37.52985, 37.525254, 37.523605, 37.51988, 37.514991, 37.51452, 37.514653, 37.517032, 37.521241, 37.52254, 37.523396, 37.523626, 37.525793, 37.529332, 37.530962, 37.532189, 37.535212, 37.536329, 37.542059, 37.542358, 37.543503, 37.547132, 37.548739, 37.548091, 37.548913, 37.552958, 37.552616)))"
510010902022,001,46951571,328135,481296,14103,16213,19513,412,98302,119738,48138,96206,160430,15102,0.031377779994016156,0,0.1035308832818057,0,0.45388284963930764,0,0.6332360958744717,0,1.2220276087896005,0,2.136632366042888,0.02930213423755859,0.03368613078022672,0.040542618264020475,8.560220737342508e-4,0.20424437352481634,0.24878245404075663,0.10001745287723147,0.19988946511086733,0.33332917788637345,0.031377779994016156,Accomack,001,090202,2,"Temperanceville, Atlantic, Assawoman",761,273,1397,489,66.49,20.63,9.33,3.55,18.92,37.06,86.81,79.12,20.88,59.14,NA,957,212600,11.52469577666428,26.993865030674847,"list(list(c(-75.611921, -75.597507, -75.593816, -75.592896, -75.589924, -75.584382, -75.576851, -75.576279, -75.576159, -75.577449, -75.574914, -75.570583, -75.56826, -75.558244, -75.554625, -75.550001, -75.549727, -75.546093, -75.548207, -75.54947, -75.547269, -75.54278, -75.542208, -75.537377, -75.529986, -75.519938, -75.513092, -75.504549, -75.507237, -75.507813, -75.509176, -75.510171, -75.510677, -75.511709, -75.514493, -75.515624, -75.515777, -75.520575, -75.520706, -75.520119, -75.507679, 
-75.509713, -75.511532, -75.514757, -75.511462, -75.513301, -75.512339, -75.512446, -75.511306, -75.511587, -75.51483, -75.520819, -75.525291, -75.525848, -75.525413, -75.526993, -75.528262, -75.530782, -75.531634, -75.530883, -75.52771, -75.527549, -75.530001, -75.530464, -75.532221, -75.532968, -75.536061, -75.536093, -75.538789, -75.538895, -75.532485, -75.536493, -75.545155, -75.5432, -75.545023, -75.545323, -75.546007, -75.544731, -75.548955, -75.548854, -75.549518, -75.553604, -75.563883, -75.56581, 
-75.570799, -75.573379, -75.576293, -75.579978, -75.58331, -75.590115, -75.592653, -75.595725, -75.599475, -75.599589, -75.601659, -75.609658, -75.612883, -75.610459, -75.608586, -75.608172, -75.606214, -75.60891, -75.617605, -75.611921, 37.96861, 37.964665, 37.962606, 37.961278, 37.958554, 37.955029, 37.951843, 37.951214, 37.950319, 37.945502, 37.944412, 37.943884, 37.943237, 37.942467, 37.94176, 37.939125, 37.938961, 37.93663, 37.931061, 37.922179, 37.922979, 37.922963, 37.922868, 37.921212, 37.91953, 
37.913484, 37.908888, 37.903413, 37.900847, 37.8996, 37.895239, 37.894184, 37.89365, 37.892564, 37.888883, 37.887298, 37.887032, 37.87475, 37.874083, 37.87332, 37.864804, 37.862542, 37.858336, 37.855038, 37.853056, 37.847731, 37.847035, 37.845058, 37.843494, 37.840686, 37.837801, 37.838841, 37.843128, 37.845001, 37.846566, 37.848987, 37.849604, 37.849351, 37.850615, 37.853286, 37.853696, 37.856288, 37.857576, 37.85911, 37.861366, 37.864526, 37.86533, 37.866884, 37.869698, 37.870312, 37.875016, 37.877837, 
37.878521, 37.884572, 37.887055, 37.887686, 37.890642, 37.892632, 37.892993, 37.89449, 37.894622, 37.897336, 37.904855, 37.906068, 37.908468, 37.909751, 37.912289, 37.912722, 37.913503, 37.913312, 37.913622, 37.914988, 37.91563, 37.915682, 37.917422, 37.92068, 37.921397, 37.927191, 37.927432, 37.928168, 37.937072, 37.937622, 37.940821, 37.96861)))"
510010904021,001,45760118,12588729,450246,71706,79654,86002,59126,106461,127884,119161,167669,197608,74464,0.1653851450096168,0,0.527182917782723,0,0.6518014596465045,0,1.0759407079685317,0,2.420310230407375,0,3.541780750915359,0.15925960474940365,0.17691217689885086,0.1910111361344687,0.13131932321442055,0.23645074026199012,0.2840313961700937,0.2646575427655104,0.3723942022805311,0.43888896292249124,0.16538514500961696,Accomack,001,090402,1,Centerville,1943,821,226,731,24.14,42.72,33.14,0,24.7,23.37,69.91,50.18,49.82,19.42,44398,787,131100,35.39823008849557,27.359781121751027,"list(list(c(-75.666528, -75.662007, -75.656914, -75.654429, -75.653655, -75.653017, -75.651806, -75.649688, -75.642013, -75.641697, -75.640261, -75.641283, -75.638665, -75.645053, -75.648559, -75.646297, -75.642773, -75.639835, -75.6354, -75.628415, -75.626631, -75.624595, -75.622906, -75.617628, -75.616078, -75.611881, -75.608784, -75.605742, -75.606074, -75.610335, -75.611095, -75.612404, -75.614101, -75.607005, -75.606563, -75.599368, -75.593468, -75.592792, -75.592823, -75.592655, -75.592634, 
-75.592062, -75.590467, -75.590511, -75.588822, -75.588396, -75.587344, -75.589236, -75.58909, -75.588439, -75.584888, -75.584576, -75.581871, -75.581012, -75.580334, -75.577949, -75.57623, -75.575016, -75.574494, -75.572867, -75.571633, -75.569274, -75.567862, -75.568591, -75.568254, -75.567774, -75.564928, -75.563374, -75.561987, -75.560762, -75.55832, -75.553115, -75.551616, -75.550653, -75.54922, -75.546785, -75.5428018480619, -75.544293, -75.551898, -75.558078, -75.562951, -75.567585, -75.576023, 
-75.580501, -75.585128, -75.589354, -75.588382, -75.5890014088616, -75.592781, -75.593354, -75.594508, -75.59695, -75.598411, -75.598698, -75.598426, -75.597408, -75.596546, -75.598044, -75.600761, -75.602303, -75.602606, -75.603452, -75.604239, -75.605435, -75.608271, -75.608345, -75.609588, -75.61152, -75.613954, -75.615273, -75.617319, -75.616585, -75.621018, -75.62095, -75.621919, -75.623192, -75.624775, -75.625475, -75.626929, -75.627186, -75.628288, -75.630607, -75.632514, -75.636179, -75.643076, 
-75.643632, -75.646811, -75.648602, -75.649759, -75.658134, -75.658591, -75.65984, -75.663459, -75.665598, -75.667397, -75.666528, 37.755897, 37.761982, 37.760929, 37.759492, 37.759539, 37.759511, 37.758886, 37.757477, 37.76523, 37.766871, 37.768846, 37.769479, 37.771919, 37.778077, 37.780041, 37.782797, 37.786061, 37.788535, 37.786031, 37.790823, 37.795267, 37.796886, 37.797272, 37.793777, 37.792032, 37.78961, 37.78935, 37.788025, 37.787461, 37.780157, 37.778585, 37.771573, 37.768125, 37.765579, 
37.766029, 37.77259, 37.77804, 37.779762, 37.780582, 37.781508, 37.781568, 37.782906, 37.785464, 37.782427, 37.781021, 37.781363, 37.780428, 37.778477, 37.777027, 37.776411, 37.776835, 37.774687, 37.775429, 37.774081, 37.775426, 37.775737, 37.774142, 37.774859, 37.773173, 37.772964, 37.774198, 37.773134, 37.772521, 37.770357, 37.769254, 37.768913, 37.768397, 37.766411, 37.763414, 37.761879, 37.761068, 37.758707, 37.759512, 37.762376, 37.763768, 37.764373, 37.7626831611521, 37.759679, 37.748122, 37.74192, 
37.736469, 37.726882, 37.704884, 37.696694, 37.694989, 37.691199, 37.685043, 37.6828820565793, 37.687511, 37.689295, 37.692892, 37.697761, 37.70403, 37.706109, 37.710798, 37.715376, 37.720483, 37.722324, 37.72333, 37.724705, 37.727265, 37.727664, 37.725443, 37.724827, 37.725181, 37.726903, 37.72803, 37.727909, 37.72625, 37.72747, 37.727052, 37.725404, 37.724695, 37.726329, 37.727452, 37.727143, 37.728137, 37.730518, 37.730293, 37.732383, 37.732796, 37.731638, 37.732366, 37.735191, 37.740499, 37.74007, 
37.736953, 37.735592, 37.736656, 37.744385, 37.744643, 37.745662, 37.748887, 37.75156, 37.75422, 37.755897)))"
