PatchID,X_m,Y_m,NAVD88ELEV_m,Max_m,FloodingHour
337,427830,4155930,10.519,0,0
338,427860,4155930,10.488,0,0
336,427800,4155900,10.684,0,0
604,427800,4155900,10.99,0,0
605,427830,4155900,10.871,0,0
339,427890,4155900,10.413,0,0
606,427860,4155900,10.524,0,0
607,427890,4155900,10.443,0,0
608,427920,4155900,10.416,0,0
872,427800,4155870,10.833,0,0
873,427830,4155870,11.063,0,0
874,427860,4155870,10.796,0,0
875,427890,4155870,10.589,0,0
609,427950,4155870,10.35,0,0
876,427920,4155870,10.671,0,0
877,427950,4155870,10.711,0,0
878,427980,4155870,10.552,0,0
871,427770,4155840,10.521,0,0
1139,427770,4155840,10.129,0,0
1140,427800,4155840,10.5,0,0
1141,427830,4155840,10.898,0,0
1142,427860,4155840,10.825,0,0
1143,427890,4155840,10.464,0,0
1144,427920,4155840,10.554,0,0
1145,427950,4155840,10.874,0,0
879,428010,4155840,10.231,0,0
1146,427980,4155840,10.785,0,0
1147,428010,4155840,10.487,0,0
1148,428040,4155840,10.333,0,0
1138,427740,4155810,10.064,0,0
1406,427740,4155810,9.964,0,0
1407,427770,4155810,9.865,0,0
1408,427800,4155810,9.877,0,0
1409,427830,4155810,10.07,0,0
1410,427860,4155810,10.004,0,0
1411,427890,4155810,10.161,0,0
1412,427920,4155810,10.37,0,0
1413,427950,4155810,10.459,0,0
1414,427980,4155810,10.629,0,0
1415,428010,4155810,10.659,0,0
1149,428070,4155810,10.61,0,0
1416,428040,4155810,10.457,0,0
1417,428070,4155810,10.459,0,0
1418,428100,4155810,10.565,0,0
1405,427710,4155780,9.716,0,0
1673,427710,4155780,9.702,0,0
1674,427740,4155780,9.809,0,0
1675,427770,4155780,9.876,0,0
1676,427800,4155780,9.906,0,0
1677,427830,4155780,9.976,0,0
1678,427860,4155780,9.941,0,0
1679,427890,4155780,9.987,0,0
1680,427920,4155780,10.21,0,0
1681,427950,4155780,10.147,0,0
1682,427980,4155780,10.304,0,0
1683,428010,4155780,10.608,0,0
1684,428040,4155780,10.514,0,0
1685,428070,4155780,10.285,0,0
1419,428130,4155780,10.532,0,0
1686,428100,4155780,10.298,0,0
1687,428130,4155780,10.384,0,0
1688,428160,4155780,10.412,0,0
1689,428190,4155780,10.415,0,0
1672,427680,4155750,9.736,0,0
1940,427680,4155750,9.76,0,0
1941,427710,4155750,9.882,0,0
1942,427740,4155750,9.86,0,0
1943,427770,4155750,9.862,0,0
1944,427800,4155750,9.871,0,0
1945,427830,4155750,9.912,0,0
1946,427860,4155750,9.954,0,0
1947,427890,4155750,10.038,0,0
1948,427920,4155750,10.159,0,0
1949,427950,4155750,10.108,0,0
1950,427980,4155750,10.039,0,0
1951,428010,4155750,10.222,0,0
1952,428040,4155750,10.51,0,0
1953,428070,4155750,10.328,0,0
1954,428100,4155750,10.363,0,0
1955,428130,4155750,10.453,0,0
1956,428160,4155750,10.502,0,0
1690,428220,4155750,10.196,0,0
1957,428190,4155750,10.495,0,0
1958,428220,4155750,10.481,0,0
1959,428250,4155750,10.179,0,0
