GEOID,PeakSurge,MeanSurge,Frac
510010901011,0.61,0.45,0.28
510010901012,0.78,0.69,0.19
510010901021,NaN,NaN,NaN
510010901022,0.84,0.79,0.33
510010902011,NaN,NaN,NaN
510010902012,0.45,0.43,0.01
510010902021,0.52,0.52,0
510010902022,0.7,0.7,0
510010902023,0.55,0.55,0
510010903001,0.52,0.49,0.02
510010903002,NaN,NaN,NaN
510010903003,0.48,0.47,0
510010904011,0.91,0.8,0.13
510010904012,0.92,0.84,0.11
510010904021,0.92,0.84,0.1
510010904022,0.94,0.89,0.29
510010905001,0.47,0.47,0.02
510010905002,NaN,NaN,NaN
510010905003,NaN,NaN,NaN
510010906001,0.45,0.42,0.08
510010906002,0.47,0.45,0.05
510010906003,NaN,NaN,NaN
510010906004,0.45,0.42,0.01
510010907001,NaN,NaN,NaN
510010907002,NaN,NaN,NaN
510010907003,NaN,NaN,NaN
510010907004,NaN,NaN,NaN
510010907005,0.42,0.41,0.01
510010908001,0.99,0.94,0.11
510010908002,1.01,0.96,0.4
510010908003,0.96,0.93,0.08
510019801001,0.89,0.73,0.15
510019802001,0.9,0.53,0.47
511319301001,NaN,NaN,NaN
511319301002,NaN,NaN,NaN
511319301003,NaN,NaN,NaN
511319301004,1.02,0.98,0.37
511319302001,0.49,0.48,0
511319302002,NaN,NaN,NaN
511319302003,0.54,0.54,0
511319302004,1,0.99,0.16
511319303011,0.54,0.54,0
511319303012,NaN,NaN,NaN
511319303013,NaN,NaN,NaN
511319303021,0.99,0.94,0.59
511319303022,0.95,0.86,0.27
