GEOID,PeakSurge_m,MeanSurge_m,InundationAreaFraction,PeakSurge2050_m,MeanSurge2050_m,InundationAreaFraction2050
5.10011E+11,0.936245491,0.762386292,0.670731503,1.273470507,1.128307233,0.888534173
5.10011E+11,1.151548726,1.007300195,0.371802049,1.50953746,1.331208049,0.577348264
5.10011E+11,1.012243369,0.977948741,0.184855245,1.408046146,1.329503436,0.768052286
5.10011E+11,1.272374746,1.145326922,0.750306532,1.657686892,1.502653769,0.992532146
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,1.261388244,1.091679766,0.087152154,1.681365337,1.470977424,0.12254629
5.10011E+11,1.095547299,1.072622703,0.127058348,1.422707608,1.400072037,0.160281774
5.10011E+11,1.596619242,1.555024383,0.0081319,2.128078539,2.031208087,0.013453446
5.10011E+11,1.454483608,1.371436791,0.013865798,1.931335899,1.822618391,0.011819728
5.10011E+11,1.094819529,1.048265024,0.526917098,1.420985655,1.367912022,0.709789818
5.10011E+11,0.933728028,0.923770751,0.027577969,1.263974277,1.252773524,0.077599223
5.10011E+11,1.028579917,0.948359746,0.467829259,1.341031804,1.249937342,0.549830976
5.10011E+11,1.629295193,1.528040669,0.172998414,2.08739249,1.977839438,0.166624233
5.10011E+11,1.806696532,1.619729439,0.136889332,2.218062319,2.046627572,0.132117217
5.10011E+11,1.868557373,1.624539854,0.170637818,2.342791935,2.057062859,0.189190237
5.10011E+11,1.971607222,1.727411714,0.390872446,2.592243792,2.193574613,0.371037057
5.10011E+11,0.926086267,0.878315333,0.371308352,1.229325376,1.172691897,0.499195888
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,1.098313673,0.990242487,0.764301453,1.396192371,1.284254705,0.989569526
5.10011E+11,0.916058241,0.848089769,0.2651504,1.202131068,1.11926872,0.268695708
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,0.832595273,0.797008083,0.058665712,1.182354459,1.057540863,0.099002304
5.10011E+11,NaN,NaN,NaN,2.592847584,2.592847584,0.0013385
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.10011E+11,0.913726341,0.79050194,0.126191405,1.206160146,1.05332091,0.168417286
5.10011E+11,2.239468903,1.989899512,0.263871923,2.850644231,2.559539945,0.413895791
5.10011E+11,2.362448268,1.901384961,0.595569272,3.007448602,2.481179015,0.637145591
5.10011E+11,2.41048261,2.33622274,0.279244986,3.090212052,2.969001537,0.335882069
5.1002E+11,1.3994718,1.050121391,0.393223646,1.783146431,1.475945467,0.61645665
5.1002E+11,1.544813737,1.207358315,0.77774811,2.016029074,1.662285961,0.793577781
5.11319E+11,0.903097073,0.868577611,0.012969292,1.244483746,1.159970267,0.019491755
5.11319E+11,NaN,NaN,NaN,1.092865551,1.092865551,0.00056274
5.11319E+11,NaN,NaN,NaN,NaN,NaN,NaN
5.11319E+11,2.711121506,2.056664115,0.601833533,3.345200468,2.538792499,0.636827393
5.11319E+11,1.071316058,0.969162699,0.007119242,1.452732004,1.310363515,0.009279938
5.11319E+11,1.012738157,0.978152799,0.003687486,1.364909606,1.333133657,0.006844146
5.11319E+11,1.392857653,1.185951183,0.028431779,1.608923796,1.523554624,0.043818314
5.11319E+11,2.987618112,2.727670058,0.32243008,3.644822501,3.396201416,0.326892341
5.11319E+11,1.295998348,1.129627942,0.033348925,1.515118545,1.449927362,0.051432818
5.11319E+11,1.236093299,1.203563335,0.021690145,1.60165384,1.569576938,0.04543612
5.11319E+11,1.40942163,1.332462128,0.02111496,1.789958003,1.696141874,0.023847119
5.11319E+11,2.957993157,2.2795617,0.663137394,3.635639636,2.834425111,0.609685328
5.11319E+11,2.898939337,2.237057189,0.4359119,3.556735736,2.772417145,0.402382404
