,GEOID,zone,spatial_unit,area,perc
11,510010902002,0,blkgps,146.687944,89.97289133806463
12,511319901000,0,blkgps,1748.818225,99.80946344843066
13,511319302002,0,blkgps,61.801318,86.49300082214182
14,511319302001,0,blkgps,67.157613,83.90328690565585
15,511319301001,0,blkgps,56.569196,75.99068368112002
16,511319303004,0,blkgps,174.089827,86.56239178913356
17,510010901002,0,blkgps,0.049186,1.5711455569603354
18,510010905003,0,blkgps,42.691724,99.31534962941913
19,510010907002,0,blkgps,25.83389,100.0
20,510010907003,0,blkgps,36.022375,99.75713701824972
21,510010905002,0,blkgps,15.370884,99.91313842009947
22,510010906003,0,blkgps,4.151227,84.66818657229055
23,510010904002,0,blkgps,61.2133,80.38060297513266
24,510010907001,0,blkgps,29.571489,98.30816738833816
25,510010906001,0,blkgps,420.848477,98.40411263852727
26,510010906004,0,blkgps,56.084139,60.693115960661295
27,510010902003,0,blkgps,98.110368,82.00916021580791
28,510010901003,0,blkgps,0.04447,0.7070771795332083
29,510010901001,0,blkgps,32.714065,50.8423267170472
30,510019902000,0,blkgps,1572.530806,99.99743134046966
31,510010901004,0,blkgps,6.682156,39.78478375313577
32,510010904001,0,blkgps,59.893053,88.2490639725508
33,510010908001,0,blkgps,67.954586,61.42222766955572
34,510010905001,0,blkgps,66.840341,60.68102353838848
35,510010903003,0,blkgps,44.385562,41.74818275899293
36,510010906002,0,blkgps,162.450023,63.85678897158936
37,510010902001,0,blkgps,48.269256,62.46093672662638
38,511319301003,0,blkgps,10.729164,95.2437190838811
39,511319303002,0,blkgps,27.640978,84.24618546525535
40,511319303001,0,blkgps,32.42176,82.67337408316138
41,511319303003,0,blkgps,481.16217,97.09166494213846
42,511319302003,0,blkgps,60.219405,84.10347712516449
43,511319302004,0,blkgps,104.037262,77.53474373071799
44,511319301002,0,blkgps,48.796657,88.73545029888803
45,511319301004,0,blkgps,191.011149,83.6786888575905
